,solution
0,-9.794498479093333
1,4.823532156669791
2,-0.43261139604296456
3,3.8104827342753134
4,9.76269260399746
5,-1.7668738877396328
6,-5.095368508159308
7,11.570779610110879
8,-7.655816830782555
9,1.0703114239299865
10,8.88405473858659
11,5.926748555064895
12,-0.005834092939876114
13,-3.2230092176944036
14,-7.340073058291633
15,-0.048956392103558
16,2.067102352687136
17,4.594528467217898
18,2.0309114912415396
19,-9.553466095588739
20,-0.17890538697931138
21,5.21267964066771
22,-1.8060562016924009
23,9.076933870067235
24,-11.473784694299807
25,-1.8464451766867946
26,-2.1285234340217754
27,-4.307692432824937
28,7.973479768592164
29,3.713660893095395
30,-5.995862742825
31,9.599932680235863
32,-3.631834336586833
33,6.410473424464585
34,11.421462545075462
35,3.3113070055911376
36,2.4738614379189854
37,10.692525412682908
38,11.29872072734333
39,-4.815264813876838
40,6.371857017259562
41,-9.451537614054606
42,9.019433935721354
43,0.0013605150579398108
44,-0.2951312547209027
45,-12.280547973913587
46,-5.4049584044922945
47,-2.0470690544473604
48,-0.5428096147238943
49,-5.519525362042944
50,12.949251393781422
51,7.8538703825367975
52,-0.38306686574122
53,-9.235042126072019
54,1.3320714531285667
55,2.097964342535375
56,2.7405016269862315
57,4.741195400215266
58,-10.40092188364367
59,-3.3616252745132704
60,5.603184582116496
61,6.045875116868306
62,8.008040385186067
63,-2.1663561512353167
64,1.5075440547198315
65,6.385985111278906
66,-2.0046289194075846
67,-1.5183782635287615
68,0.559965971641169
69,1.9341798534378085
70,10.72766098481684
71,-1.5673088992710917
72,4.115280767512464
73,6.009717965583752
74,-8.016136899844582
75,-4.248310441756597
76,4.361293215156645
77,-11.785642306095362
78,-11.848709689564108
79,2.8308611995611854
80,2.296100841024263
81,7.18414359251261
82,1.5559601797421718
83,2.4330830647981956
84,9.600053969711682
85,0.505710619272206
86,-8.41161988669862
87,0.5703874227434712
88,-0.5813861751617758
89,5.969351738545135
90,6.44339121769746
91,0.8761834277351859
