,solution
0,522.537442850393
1,-351.8127610543338
2,103.23249793906811
3,-103.2187647440917
4,424.49926281699425
5,282.06373763654534
6,19.512884305858616
7,-558.6208775913666
8,352.2985518319852
9,12.437119817978495
10,55.10315865542208
11,345.9643696931604
12,547.7735448615867
13,326.99283358582403
14,-436.9679555050495
15,-109.28807690049541
16,555.8696543544373
17,581.1129699869791
18,-162.68453547937804
19,472.5292425299427
20,-563.0627323398334
21,-142.26600144969075
22,406.141600584373
23,-591.1265197092836
24,-398.21583043716976
25,-394.3527770183126
26,-389.04130193972526
27,85.00265999662949
28,-272.7054588657608
29,-226.10801246833185
30,-583.3348534617171
31,296.28739025196654
32,-100.0669702629496
33,482.1014200598046
34,-43.5837817965055
35,-65.18168224841926
36,483.8121773738856
37,55.769972841010016
38,-356.37064359671297
39,166.2343097088025
40,242.3682166415185
41,-529.5054639575088
42,212.82180466652758
43,-183.80335969368338
44,588.6122212060935
45,38.858725049749744
46,257.75979584987203
47,-134.17258626540442
48,-230.23907854961166
49,-319.3141654471034
50,-241.29276223300394
51,259.91828421538906
52,-139.78754530776092
53,92.23132600333273
54,-394.3421274559681
55,172.72405697601857
56,-5.85001136619349
57,323.28082253453397
58,375.1690887272599
59,112.1955442715788
60,45.95516250495139
61,428.9377245606021
62,338.40083177132254
63,124.3957950915051
64,370.1798273492284
65,186.26057742833453
66,-209.0865874608218
67,-205.8483391360916
68,-83.12414960308402
69,26.188770028066692
70,218.86969273182206
71,-242.68236983631286
72,350.4226365514809
73,192.6535367707753
74,-196.3856298285963
75,294.6250046799993
76,42.32122175309316
77,-123.44052418126263
78,231.3538798947501
79,76.22676284978444
80,287.2571632243106
81,435.9818125445921
82,-50.13071388332826
83,460.9187477545414
84,-328.1275949828116
85,572.8450072151946
86,-328.2677405817593
87,-189.07616736746107
88,424.18861047326453
89,337.1337332338854
90,-421.41939088814524
91,-530.0025022373467
92,488.731822722144
93,-366.0404328559562
94,-247.39089973289188
95,148.75535825633818
96,-200.2303154620252
97,-53.632141298912096
98,-463.8590757219217
99,546.9947986749374
100,45.898286286288325
101,-93.29182216356179
102,86.21044382486843
103,-128.6055265600577
104,-62.69811898696661
105,-267.2785654037111
106,159.23469071324106
107,314.9129248449068
108,44.028939523631706
109,159.54199218836214
110,-307.6113167734716
111,-176.47561844884376
112,300.1704670737959
113,203.19077624569533
114,-45.76305553202635
115,28.693125657876468
116,301.88500103872065
117,-513.093934539445
118,127.08379544507922
119,-470.31690361551944
120,-25.68425002041948
121,-202.51377787073008
122,387.41036431015624
123,-580.8155429119898
124,257.9361319237175
125,479.2835392506885
126,518.8519898629445
