,solution
0,22.430079598386378
1,54.57815523093435
2,-93.20272769071254
3,-32.958126296563044
4,-96.69337615278226
5,14.731398210340007
6,-82.69067114890913
7,1.3308501315521162
8,19.231363558209388
9,-28.786074268767337
10,-78.84476610112002
11,-87.4161043878815
12,-32.03912525774337
13,35.53028267596185
14,-20.634443063396493
15,-33.40514179708613
16,-24.580188820526185
17,-65.23372615995774
18,-14.990423524373712
19,13.44307469705572
20,-21.24776206037483
21,6.230839458895581
22,23.394790142946277
23,-74.8169278401072
24,-70.7919186602056
25,7.505177490897516
26,58.191008709221855
27,-32.64185540829982
28,-49.74285031677621
29,-17.942962352368284
30,-90.24913014170964
31,-7.710479295753702
32,-71.81415547110574
33,3.3953122837652123
34,-10.372763395340666
35,16.541309265150257
36,-98.95228492914262
37,-64.87591771352471
38,-69.85563546816589
39,2.8016027657206624
40,-37.2993197808424
41,-5.330189403273192
42,-97.82346239167633
43,-52.12448269583087
44,66.01394971863662
45,-21.044195291370773
46,-93.66049186283881
47,1.1405499218355457
48,20.052559180136306
49,-11.99630887268425
50,83.73167687919732
51,-99.33465155157384
52,-63.10229321770851
53,-51.25994686159116
54,92.3792048832529
55,-51.45463647127783
56,-18.85963331797474
57,-71.35724687287909
58,-97.02859785854174
59,-1.8373001660583996
60,34.988691748806616
61,6.49225879507092
62,1.1852607411047558
63,-81.68399792671477
64,-99.1584940621449
65,3.005646767208594
66,-15.138412815768618
67,59.47196878308897
68,37.026165636390296
69,-87.41892754665612
70,39.08262056188251
71,-69.4646901658575
72,-95.17183239550243
73,19.185653938723352
74,16.701773873662063
75,76.78512043462477
76,-88.41502591124058
77,-99.60429730874677
78,-72.15795330602914
79,-1.9026780549178572
80,-68.10391773205211
81,41.185267029399796
82,-57.21903786397395
83,35.64395816418673
84,-55.89728613618665
85,76.90484778048342
86,8.254390156657067
87,-5.8785264031158935
88,-45.78027870613902
89,-12.572953804830682
90,42.05253366542626
91,-34.59856907782077
92,8.49403311452294
93,-8.094552801341958
94,9.712880139999323
95,-49.104553751096496
96,-91.4060216856167
97,64.56700938540409
98,-42.2994949710312
99,6.3781136961603275
100,18.264941207437648
101,-38.648129153956106
102,-48.855654612822974
103,39.742088888359326
104,21.65175228510203
105,-99.85859243120125
106,-21.42868801453625
107,1.4637635256161132
108,-84.15820015746823
109,-37.50099255123558
110,6.721675107241053
111,-47.171405882729296
112,-89.23775637057783
113,11.721949871288444
114,4.759300213790697
115,59.05099693426394
116,-99.5708718193808
117,-4.5572434017936825
118,-21.12940715324387
119,10.90302325132753
120,-2.62386128455988
121,79.04902355134723
122,-7.412964645677582
123,-27.352093327404827
124,-97.0754753768068
125,-96.3859118896164
126,-55.7300318711757
127,-2.200001446493226
128,-99.9955285987181
129,-82.62461279650428
130,-0.9553732718746178
131,-0.47901073527427873
132,-66.55800918125435
133,-17.00178802893695
134,-2.839386736624678
135,10.942343723016783
136,-68.90138944059211
137,-100.0
138,-96.24163707172158
139,22.45330001411354
140,-35.195089047472926
141,-97.32935769496459
142,-28.18447621857805
143,-97.71304545567244
144,40.53059604269462
145,-14.77526219783423
146,43.162574246086855
147,-7.790928655942094
148,-63.39439470991065
149,-98.8878681717729
150,1.857344176120368
151,-69.81828393568898
152,0.8150450499592137
153,47.35137292977806
154,20.218795259384198
155,-38.345888162796804
156,26.42024282541991
157,-75.65811723820731
158,9.0672302736947
159,-88.99653152825472
160,-6.429342310007744
161,-17.22843866173885
162,-64.06003543495271
163,-83.22137361048325
164,-17.153918392323515
165,39.18929118933416
166,-2.639601912105111
167,-20.24002940444318
168,-31.544749230059235
169,-85.73917135857714
170,0.5950379510712205
171,-15.85742574271331
172,-46.89801439126184
173,28.668877442862808
174,-24.727989765613692
175,-94.85552441642213
176,-63.45356315171796
177,21.30966289697069
178,-19.91401355547603
179,-92.19607566043584
180,-10.590246080865473
181,-37.916485152444935
182,-24.046042239379744
183,-95.3079643895221
184,-93.3650998635002
185,7.364020170400636
186,59.17777828368794
187,-48.25042297277223
188,-85.97768028904818
189,43.03992202378993
190,66.1778477196074
191,-84.83748468612798
192,58.25076767964447
193,-26.599472122747724
194,10.716182585044969
195,-9.395988561666217
196,-93.14339913548463
197,46.25510900278857
198,-2.3625154917779776
199,-90.06064811435634
200,-74.20475534351247
201,-87.11401726851823
202,-79.1853531942386
203,6.533825711432011
204,-70.19102496626509
205,-85.54642561653932
206,5.30769560555153
207,1.6652087930240782
208,2.9373900821774495
209,-95.30601205396218
210,-98.73677322798743
211,-56.38106434010102
212,-46.43509243325201
213,-35.399062409531595
214,44.641119919408496
215,-3.9976018803730193
216,-100.0
217,-2.6142374847731
218,70.5641099806976
219,5.3762234013692805
220,-80.32797843154475
221,-22.144793902580638
222,83.09039117566496
223,-98.03758149755505
224,-15.319480445750791
225,20.795637841355877
226,-28.400165474870544
227,-35.53826760311864
228,-88.64833947429337
229,25.369267072165925
230,-98.88094923838416
231,-99.5015336292261
232,-94.54493290426866
233,-5.549255766716333
234,-81.07194932371233
235,-11.596567188585144
236,-99.8479691967643
237,-68.16894954707821
238,-99.75671034949977
239,10.479918360639589
240,-89.28295657746196
241,5.426146770017001
242,-43.692941225565995
243,20.868477197483077
244,-51.86100811148069
245,57.97643947710766
246,-11.274315789259829
247,-76.40366190213527
248,-85.40303018636635
249,-74.75446079663921
250,-19.950969456013837
251,-88.60005684368272
252,-56.274502978463154
253,-62.579821370566215
254,-93.50440138097773
255,18.544831619891855
256,1.8265319829125137
257,-93.76603282685322
258,17.24945349470421
259,-56.128660977679566
260,-99.79783188302086
261,22.838688556463122
262,-74.49010406435478
263,-93.79263552820625
264,43.419311516529994
265,-22.708142275993332
266,38.94455193798528
267,-66.44648640805941
268,41.75595727959987
269,-91.0195921523784
270,-11.656559480510936
271,-94.04269799188584
272,-100.0
273,-41.57131929915536
274,42.17308012927194
275,-61.1774651307883
276,-9.55841291442055
277,11.578391909563912
278,14.877593070340591
279,19.177380432160106
280,-76.04198771872709
281,-35.29626538119467
282,-50.01611238032826
283,-82.06186315096112
284,29.726309665625713
285,-93.56701930424384
286,-45.31821920574921
287,-31.87206213840065
288,-96.45049439562659
289,-51.68090170035311
290,42.600905146261645
291,-97.79040676795219
292,-99.40663863540229
293,-82.45238972158664
294,-88.21595806127783
295,-77.47468222974892
296,-87.64023219400794
297,0.3695235166397035
298,-65.75314454528281
299,-66.60161358059061
300,-56.224152918121284
301,-55.20039760196826
302,-38.63416846865123
303,20.188079148234266
304,-94.00302275438219
305,-54.03165943149491
306,-63.5149389360223
307,-60.536503294297155
308,-76.28842674322254
309,38.47144144634948
310,33.127227430416305
311,-92.58913854061731
312,-75.27575471941381
313,-99.88118667435408
314,-97.16793584752835
315,-60.76626380917519
316,-95.53429367776697
317,-16.198550263820884
318,-80.69509781027155
319,-61.47470686421421
320,66.93483018765339
321,-98.90112166955653
322,20.94473008724503
323,-54.2517449872719
324,-57.046822046730185
325,-80.81030138730338
326,-84.38935777431512
327,61.58700065361033
328,96.24572899100893
329,-54.642349689358404
330,-73.87098375207816
331,-69.10818790034735
332,-10.260037041782008
333,-3.2439639706395536
334,-58.23729986190393
335,18.118569325259937
336,-99.20360403829461
337,-84.24677823114386
338,-50.58122571541817
339,-18.086069599517746
340,-79.26486829744549
341,9.193355135664449
342,2.3443232369806624
343,-5.0231238888924
344,35.015200013890166
345,13.493401425759068
346,12.985519151684855
347,39.641958281929504
348,-65.49321724713703
349,-37.72393916926625
350,23.073637481258846
351,69.86226016433767
352,13.664891854815684
353,-51.36375594830701
354,-91.51828449064726
355,-63.732403906161764
356,33.43153454160639
357,-7.447144560914989
358,-18.768075095093437
359,-26.350798845182794
360,-92.9838306365067
361,-18.609905030561595
362,17.606244197955903
363,3.2596621414751215
364,-48.6244114736025
365,-51.80835580356764
366,35.93310637245295
367,-30.32332846227404
368,-67.41273330599206
369,-95.41615533193642
370,-56.7412258872384
371,9.154636325330985
372,-58.4331480084601
373,24.435261311227226
374,3.214713623574193
375,-85.84848281597826
376,-37.75395380078621
377,-88.02009333317405
378,-68.62242365785832
379,-58.1659535415455
380,-97.86621436658208
381,-24.724783677676832
382,-93.87238227737002
383,29.61601862408524
384,-53.14848148100182
385,7.211831623513178
386,-97.10599674562543
387,4.1795259783032686
388,56.689606556439635
389,-93.20956090601369
390,-97.9710644177213
391,-31.95116565775937
392,-16.16723652433593
393,-40.22346996546209
394,-0.236858500314939
395,44.74781707256685
396,-19.80136853156108
397,-65.82431951976083
398,-92.98337491571291
399,-83.95878253957609
400,-95.91928710247453
401,20.37307285951478
402,-12.530906945753133
403,-24.561001424621164
404,-99.54567016920505
405,23.043474122594123
406,-2.912997384861683
407,4.652591562044954
408,-15.503755118349371
409,-8.827776929802875
410,-93.20767456900072
411,-5.588437906350689
412,-99.45026040353719
413,-70.1717293812549
414,-16.08023209954448
415,-87.42893846437008
416,-95.92147512816022
417,6.275073441947162
418,-93.72075128658004
419,-14.24808080421059
420,67.82068751935188
421,10.44735867925188
422,-90.44801264314742
423,13.793060274884628
424,-57.55675790083011
425,-38.54943493137273
426,-4.462232086768857
427,-25.43541996012713
428,12.928112886024026
429,-77.64909340073743
430,1.7143648002261336
431,-97.91558581594204
432,-42.928922426961954
433,-4.65822748183634
434,19.391780145004805
435,-49.33119899675542
436,18.520259511086376
437,-99.92728232858718
438,-99.90128213238222
439,2.7599210735666317
440,0.6548524822055697
441,-99.67717979491766
442,-92.07254821645601
443,-99.88735682614158
444,5.442521020832319
445,-99.5345230593774
446,-14.159396575065168
447,6.278880582210979
448,-23.19157299669267
449,19.17169324296876
450,-63.402405888100674
451,18.15464084683521
452,-10.299471670334645
453,-92.28349110398862
454,28.071223491444297
455,-90.87971687165671
456,-52.359305515006405
457,-99.82710383321393
458,51.52093970541167
459,-99.22391812919084
460,64.81839258476515
461,52.604084911346604
462,-99.56775838994713
463,-49.86482453140941
464,23.26500890072378
465,28.474761056729452
466,35.054370201798356
467,-85.70388656731352
468,2.093767702266844
469,-13.23877969112619
470,0.4964856301373657
471,15.670903507689612
472,-85.91169432847906
473,66.560274332972
474,-37.59832799238247
475,-69.19424862235319
476,37.12137739531744
477,-99.59444880625882
478,-7.247112036347738
479,-40.98569832045889
480,-35.816872766477594
481,-79.74685041914607
482,-40.27501246842417
483,-98.50663122191565
484,71.19380781219185
485,-7.1266204673763145
486,30.832849876097992
487,-80.93438247596033
488,-71.4386629733432
489,-90.16394741414717
