,solution
0,97.2310018751436
1,77.05992541867596
2,-19.01999734231472
3,25.414921700087703
4,-22.90945218863473
5,69.59064371686932
6,5.387356033232978
7,61.479751348370996
8,-21.29478522583157
9,92.35325297828648
10,-93.9796425686424
11,90.72839851864998
12,42.89847236371738
13,29.308661287143988
14,-10.651244896396793
15,-65.06463504555991
16,67.04667436356404
17,93.99816509682158
18,-72.99230988108508
19,-49.79738763342527
20,81.9786775913438
21,35.289428616027614
22,24.650539071806467
23,2.4427181508494704
24,-99.29647818340082
25,-54.611424524989935
26,95.70624702816193
27,72.24269368221202
28,-97.1250334862597
29,-2.841688152001261
30,-16.715683872585295
31,54.590444159944475
32,-2.373278334223659
33,4.513457195176066
34,56.400156555180786
35,18.24764157750843
36,-74.73178509089198
37,-78.04548453914516
38,32.5827156622716
39,99.4156166292702
40,-30.75476734851047
41,-64.80547680749169
42,-86.43371081192913
43,-38.118497419329294
44,-33.054376772052876
45,-24.766105402226895
46,90.43078421224433
47,43.87199241035258
48,55.85337818657511
49,23.555595361067255
50,29.866610990053744
51,51.26115933163093
52,-70.42327517419407
53,19.927757263973653
54,79.7297746494408
55,-65.58337868944795
56,63.78380562572975
57,-86.13241945045336
58,91.12972076840822
59,-36.54601400873298
60,-98.96565610755509
61,51.9548188262789
62,-38.262059655584004
63,43.03600581417354
64,-83.77451227640766
65,69.17070624244417
66,43.6591524819906
67,74.10491760897614
68,74.43666668488429
69,52.31776002157731
70,33.88078051208432
71,80.41623483583705
72,64.29388158587929
73,66.54072918609151
74,27.98318258400801
75,-68.75902822088634
76,56.6429075008887
77,46.29939228758089
78,12.945450428786518
79,44.66965778512797
80,-52.0597167845505
81,-2.0173361271539654
82,-15.291205687770304
83,59.13432740111806
84,52.67975246352533
85,-52.18952751084573
86,27.012879497036778
87,-53.67559964281092
88,23.202240426087748
89,-46.33464684456935
90,98.2259889494894
91,52.05262095087232
92,-3.5770112632949105
93,89.06457641100661
94,-27.87475837317187
95,-83.12617933133525
96,89.70922955218924
97,38.15808089020145
98,23.087479410341224
99,79.00641078699812
100,-97.47711513861528
101,-39.80934127770779
102,92.9950407689722
103,-79.5514353383218
104,19.20706641600946
105,-6.207089253514348
106,43.462110335847
107,71.75669447490384
108,-62.88297062170363
109,-7.520004526641611
110,80.64604014126003
111,-95.57952474793555
112,52.07185197111707
113,59.18727722305742
114,-37.21253208222492
115,-52.86513341181179
116,-1.1069332061952748
117,37.070753659959536
118,88.89755144170218
119,-12.15467537555526
120,-0.5098531722394678
121,-80.26636415381795
122,10.884787981846037
123,-12.860389200295256
124,-63.72451461300769
125,-69.25289575295498
126,86.73984038573306
127,-72.75616520907526
128,99.72016726870312
129,38.116392264918005
130,92.20988870519871
131,55.10340327386369
132,-99.85753020236653
133,-34.893759449935764
134,8.824905617694883
135,-38.69565815771183
136,34.53754175416436
137,-30.847107685227872
138,96.11583822671078
139,-29.206335550676396
140,-96.03183381306741
141,62.52474412115459
142,96.57635704315769
143,-37.62542168677951
144,-24.16204358978899
145,49.595490417039095
146,-11.420072251555418
147,-80.00647146558464
148,98.52122090403795
149,7.25940012111173
150,-73.08055206444291
151,-73.72666116656112
152,72.79790036891444
153,41.637180156977074
154,99.63714478699787
155,63.15592495826438
156,56.46915717607781
157,52.706128369715834
158,81.01742375302416
159,-79.40379853486418
160,-57.63670572246848
161,70.2125457570161
162,48.589165479633536
163,-19.01812206958405
164,-38.979337008578774
165,-5.1554030200781655
166,-71.04212458876472
167,-1.141270549901058
168,6.043141539852051
169,2.0573136479980443
170,-54.50551579549607
171,86.97951274352454
172,3.638024477591039
173,-8.121642705239758
174,55.41034102852771
175,46.745728726551775
176,20.46649884114978
177,-88.62225217829622
178,-85.57717174173412
179,27.118469389923828
180,75.2736582924076
181,-14.498672271471094
182,41.6596696590715
183,-85.97395270710923
184,-96.18122523752999
185,1.6599771654715374
186,73.88094655906269
187,59.68279030988504
188,59.83637141140378
189,-60.76176844938212
190,42.870488330723816
191,-56.992297526332116
192,57.34302070905328
193,-65.60198361652049
194,-58.755682460222964
195,-7.099483540468055
196,-85.1110727266367
197,19.307286765439986
198,-61.764948265386046
199,86.95851929537193
200,-38.474422573020696
201,-7.635895524887996
202,65.9703853734302
203,-39.984156604080894
204,41.92303521856491
205,-85.09964324700785
206,50.05663661506513
207,-6.209356018210574
208,88.98258475455293
209,-97.20310698071599
210,-89.15012361030601
211,47.67936419976048
212,27.106328766422347
213,86.21093764663681
214,-7.796568002713807
215,2.614922393866115
216,-15.102346275225338
217,-16.811475231856353
218,-22.365475418023387
219,71.13142832780751
220,64.59893776769788
221,82.78512508473926
222,67.2128335486922
223,73.59919040456886
224,55.10730491887159
225,-13.609482990961954
226,-12.787110524506987
227,-55.09893133026222
228,-97.35240343673266
229,-24.79717025193796
230,67.68905782394056
